_id;Country/Region;Lat;Long;Date;Confirmed;Deaths;Recovered;Active;iso_code;continent;location;date_1;total_cases;new_cases;new_cases_smoothed;total_deaths;new_deaths;new_deaths_smoothed;total_cases_per_million;new_cases_smoothed_per_million;total_deaths_per_million;new_deaths_per_million;new_tests;total_tests;total_tests_per_thousand;new_tests_per_thousand;new_tests_smoothed;new_tests_smoothed_per_thousand;tests_per_case;positive_rate;tests_units;stringency_index;population;population_density;median_age;aged_65_older;aged_70_older;gdp_per_capita;extreme_poverty;cardiovasc_death_rate;diabetes_prevalence;female_smokers;male_smokers;handwashing_facilities;hospital_beds_per_thousand;life_expectancy
5f65d70b7186c31f7a0d6f47;Albania;411.533;201.683;22/01/2020;0;0;0;0;ALB;Europe;Albania;3/24/20;100;11;7;4;2;false;34;2;true;false;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;84;2877800;104;38;13;8;11803;1,1;304;10;7;51;NaN;2;78
5f65d70b7186c31f7a0d6f48;Albania;411.533;201.683;22/01/2020;0;0;0;0;ALB;Europe;Albania;3/25/20;123;23;9;5;true;false;42;3;true;false;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;84;2877800;104;38;13;8;11803;1,1;304;10;7;51;NaN;2;78
5f65d70b7186c31f7a0d6f49;Albania;411.533;201.683;22/01/2020;0;0;0;0;ALB;Europe;Albania;3/26/20;146;23;12;5;false;false;50;4;true;false;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;84;2877800;104;38;13;8;11803;1,1;304;10;7;51;NaN;2;78
5f65d70b7186c31f7a0d6f4a;Albania;411.533;201.683;22/01/2020;0;0;0;0;ALB;Europe;Albania;3/27/20;174;28;14;6;true;false;60;5;2;false;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;84;2877800;104;38;13;8;11803;1,1;304;10;7;51;NaN;2;78
5f65d70b7186c31f7a0d6f4b;Albania;411.533;201.683;22/01/2020;0;0;0;0;ALB;Europe;Albania;3/28/20;186;12;16;9;3;true;64;5;3;true;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;84;2877800;104;38;13;8;11803;1,1;304;10;7;51;NaN;2;78
5f65d70b7186c31f7a0d6f4c;Albania;411.533;201.683;22/01/2020;0;0;0;0;ALB;Europe;Albania;3/29/20;197;11;17;10;true;true;68;6;3;false;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;84;2877800;104;38;13;8;11803;1,1;304;10;7;51;NaN;2;78
5f65d70b7186c31f7a0d6f4d;Albania;411.533;201.683;22/01/2020;0;0;0;0;ALB;Europe;Albania;3/30/20;212;15;17;10;false;true;73;6;3;false;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;84;2877800;104;38;13;8;11803;1,1;304;10;7;51;NaN;2;78
5f65d70b7186c31f7a0d6f4e;Albania;411.533;201.683;22/01/2020;0;0;0;0;ALB;Europe;Albania;3/31/20;223;11;17;12;2;true;77;6;4;false;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;84;2877800;104;38;13;8;11803;1,1;304;10;7;51;NaN;2;78
5f65d70b7186c31f7a0d6f4f;Albania;411.533;201.683;22/01/2020;0;0;0;0;ALB;Europe;Albania;04/01/2020;243;20;17;15;3;true;84;5;5;true;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;84;2877800;104;38;13;8;11803;1,1;304;10;7;51;NaN;2;78
5f65d70b7186c31f7a0d6f50;Albania;411.533;201.683;22/01/2020;0;0;0;0;ALB;Europe;Albania;04/02/2020;259;16;16;15;false;true;89;5;5;false;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;84;2877800;104;38;13;8;11803;1,1;304;10;7;51;NaN;2;78
